경찰서명,구분,상세주소,위도,경도
을지,지구대,서울특별시 중구  을지로,37.5666362,127.0045157
광희,지구대,서울특별시 중구  퇴계로,37.5610574,126.9913118
약수,지구대,서울특별시 중구  동호로,37.5525369,127.0124355
신당,파출소,서울특별시 중구  다산로,37.5507793,127.0076435
장충,파출소,서울특별시 중구  동호로,37.5525369,127.0124355
충무,파출소,서울특별시 중구  퇴계로,37.5610574,126.9913118
을지로3가,파출소,서울특별시 중구 충무로 56-1,37.5674541,126.9925184
종로2가,지구대,서울특별시 종로구  종로17길,37.5720983,126.9882239
관수,파출소,서울특별시 종로구  삼일대로,37.5712266,126.987555
세검정,파출소,서울특별시 종로구  세검정로,37.6006292,126.9587664
평창,파출소,서울특별시 종로구  평창문화로,37.6117305,126.9799154
삼청,파출소,서울특별시 종로구  삼청로,37.5838252,126.981868
통의,파출소,서울특별시 종로구  효자로,37.5835599,126.9736207
청운,파출소,서울특별시 종로구  자하문로,37.5779059,126.9719758
옥인,파출소,서울특별시 종로구  자하문로17길,37.5813626,126.9697781
교남,파출소,서울특별시 종로구  송월길,37.5704666,126.9654458
세종로,파출소,서울특별시 중구  세종대로,37.5644624,126.977128
신문로,파출소,서울특별시 종로구  경희궁길,37.5739,126.9679
사직,파출소,서울특별시 종로구  사직로9길,37.577108,126.9648668
청진,파출소,서울특별시 종로구  삼봉로,37.572662949999994,126.97854131459195
태평로,파출소,서울특별시 중구  다동길,37.5676971,126.9806489
서울역,파출소,서울특별시 중구  통일로,37.5572801,126.9722447
명동,파출소,서울특별시 중구  명동길,37.5638495,126.9851142
남대문,파출소,서울특별시 중구  남대문시장4길,37.5589236,126.9764402
중림,파출소,서울특별시 중구  중림로,37.5569007,126.9690671
회현,파출소,서울특별시 중구  퇴계로6길,37.5572539,126.9785719
서소문,파출소,서울특별시 중구  서소문로,37.5622037,126.9700606
충정로,지구대,서울특별시 서대문구  독립문로,37.5701185,126.9604203
신촌,지구대,서울특별시 서대문구  신촌역로,37.5591337,126.9408586
홍은,파출소,서울특별시 서대문구 세검정로1길 112,37.5952041,126.946268
연희,파출소,서울특별시 서대문구  연희로25길,37.5713517,126.9335141
남가좌,파출소,서울특별시 서대문구  가재울로4길,37.5755,126.9236627
북가좌,파출소,서울특별시 서대문구  증가로,37.5705757,126.9305063
홍제,파출소,서울특별시 서대문구  통일로,37.57662,126.95559
홍은2,파출소,서울특별시 서대문구  연희로,37.5909384,126.940404
혜화,파출소,서울특별시 종로구  창경궁로,37.5697337,126.9978588
대학로,파출소,서울특별시 종로구  이화장2길,37.5786519,127.0059099
명륜,파출소,서울특별시 종로구  성균관로,37.5894396,126.9976609
창신,파출소,서울특별시 종로구  지봉로13길,37.5783454,127.0137084
동묘,파출소,서울특별시 종로구  종로58가길,37.5727592,127.0172476
덕산,파출소,서울특별시 종로구  창신길,37.5756133,127.0109366
종로5가,파출소,서울특별시 종로구  동호로,37.5703796,127.0019568
효제,파출소,서울특별시 종로구  종로41나길,37.5730297,127.0057926
원효,지구대,서울특별시 용산구  백범로,37.5360154,126.9728426
용중,지구대,서울특별시 용산구  후암로16나길,37.5491512,126.9785754
이태원,파출소,서울특별시 용산구  이태원로,37.5352885,126.9745308
한남,파출소,서울특별시 용산구  대사관로34길,37.5315094,127.0057531
보광,파출소,서울특별시 용산구  보광로,37.5330546,126.9944068
용산역,파출소,서울특별시 용산구  한강대로,37.5447751,126.9719446
한강로,지구대,서울특별시 용산구 서빙고로 67,37.520219,126.9905063
돈암,지구대,서울특별시 성북구  아리랑로5길,37.5972539,127.0125685
안암,지구대,서울특별시 성북구  지봉로21길,37.5858637,127.0171955
길음,지구대,서울특별시 성북구  삼양로13길,37.6110509,127.0205758
정릉,파출소,서울특별시 성북구  솔샘로,37.6129866,127.007746
정릉2,파출소,서울특별시 성북구  정릉로26길,37.6034205,127.0120272
성북,파출소,서울특별시 성북구  성북로,37.5893142,127.0050907
답십리,지구대,서울특별시 동대문구 사가정로2길 9,37.5709775,127.0510081
용신,지구대,서울특별시 동대문구  청계천로,37.5720878,127.034992
청량리,파출소,서울특별시 동대문구 약령시로21길 15,37.5842387,127.0454556
제기,파출소,서울특별시 동대문구 약령시로17길 59-11,37.5857218,127.0415937
전농1,파출소,서울특별시 동대문구 서울시립대로 56,37.5750243,127.0467517
전농2,파출소,서울특별시 동대문구 전농로38다길 21,37.5862304,127.0541279
장안1,파출소,서울특별시 동대문구 한천로20길 7,37.5692565,127.0653804
장안2,파출소,서울특별시 동대문구  답십리로,37.5765595,127.0465065
이문,지구대,서울특별시 동대문구  한천로,37.5866569,127.0673663
휘경,파출소,서울특별시 동대문구  한천로,37.5866569,127.0673663
회기,파출소,서울특별시 동대문구  회기로18길,37.590221,127.0540786
서강,지구대,서울특별시 마포구  독막로22길,37.5467902,126.929641
공덕,지구대,서울특별시 마포구 마포대로 195-1,37.5431151,126.9503557
월드컵,지구대,서울특별시 마포구  월드컵북로,37.5840183,126.8807501
홍익,지구대,서울특별시 마포구  양화로11길,37.5518366,126.9162644
용강,지구대,서울특별시 마포구 토정로31길 35,37.5428,126.94372
상암,파출소,서울특별시 마포구  매봉산로,37.5782684,126.8935001
망원,파출소,서울특별시 마포구  망원로2길,37.5544295,126.9024099
연남,파출소,서울특별시 마포구  연남로,37.5673946,126.9168448
중앙,지구대,서울특별시 영등포구  영등포로46길,37.5186124,126.9078018
여의도,지구대,서울특별시 영등포구  여의공원로,37.5285573,126.9246745
문래,지구대,서울특별시 영등포구  경인로,37.5200082,126.9147546
신풍,지구대,서울특별시 영등포구 신길동 4533-16,37.50556,126.91278
신길,지구대,서울특별시 영등포구  신길로60다길,37.5135939,126.914143
양평,파출소,서울특별시 영등포구  선유로,37.5395612,126.9005899
당산,지구대,서울특별시 영등포구  당산로,37.5290399,126.8980093
대림,지구대,서울특별시 영등포구  대림로23길,37.493486,126.8991851
대림3,파출소,서울특별시 영등포구 대림로 197,37.4982976,126.8980585
영등포역,파출소,서울특별시 영등포구 경인로102길 13,37.5158661,126.9065093
한양,지구대,서울특별시 성동구  사근동길,37.5601136,127.0413452
성수,지구대,서울특별시 성동구  광나루로2길,37.5487209,127.0544243
서울숲,지구대,서울특별시 성동구  성덕정길,37.5379284,127.0521729
왕십리,파출소,서울특별시 성동구  마장로,37.5681502,127.046012
행당,파출소,서울특별시 성동구  행당로,37.5552783,127.0221256
옥수,파출소,서울특별시 성동구  독서당로,37.54662,127.0189015
금호,파출소,서울특별시 성동구  금호로11길,37.5546469,127.0196061
응봉,파출소,서울특별시 성동구  독서당로,37.54662,127.0189015
용답,파출소,서울특별시 성동구  용답중앙길,37.563556,127.0531681
사당,지구대,서울특별시 동작구  동작대로9길,37.4806808,126.9794507
노량진,지구대,서울특별시 동작구  등용로12나길,37.5116355,126.9336628
상도,지구대,서울특별시 동작구  등용로,37.5103026,126.9320528
남성,지구대,서울특별시 동작구 사당로17나길 4,37.4844138,126.9727228
흑석,지구대,서울특별시 동작구 노량진로 248,37.5127724,126.9524964
신대방,지구대,서울특별시 동작구 신대방1다길 24,37.4864985,126.9058503
대방,파출소,서울특별시 동작구 여의대방로 130,37.5014098,126.9208774
광나루,지구대,서울특별시 광진구 아차산로 567,37.538847,127.0919729
화양,지구대,서울특별시 광진구  능동로17길,37.5467359,127.0715085
중곡1,파출소,서울특별시 광진구 능동로 385,37.5340314,127.0678046
중곡2,파출소,서울특별시 광진구  능동로,37.5375483,127.069398
중곡3,파출소,서울특별시 광진구 동일로76가길 28,37.5688317,127.0801796
중곡4,파출소,서울특별시 광진구  용마산로24길,37.5652341,127.087498
자양,파출소,서울특별시 광진구 뚝섬로36길 9,37.5332843,127.0711738
자양1,파출소,서울특별시 광진구  자양번영로,37.529737,127.0746347
자양4,파출소,서울특별시 광진구  뚝섬로22가길,37.5352201,127.0632505
구의,파출소,서울특별시 광진구 광나루로43길 26,37.5447441,127.0907094
응암,지구대,서울특별시 은평구  은평로,37.6011916,126.9318376
신사,지구대,서울특별시 은평구  은평터널로5길,37.5916558,126.9036737
녹번,파출소,서울특별시 은평구  진흥로,37.6102473,126.9468443
응암3,파출소,서울특별시 은평구  응암로,37.6010222,126.9224129
역촌,파출소,서울특별시 은평구  연서로,37.6185397,126.9204296
미아,지구대,서울특별시 강북구 도봉로 127,37.6410017,127.0289955
솔샘,지구대,서울특별시 강북구 오현로 4,37.629094,127.0398115
수유1,파출소,서울특별시 강북구  삼양로,37.6639607,127.0120877
수유2,파출소,서울특별시 강북구 삼각산로 115,37.6409074,127.0170752
수유3,파출소,서울특별시 강북구  한천로150길,37.64377,127.02516
인수,파출소,서울특별시 강북구 인수봉로 227,37.6204276,127.0120243
번동,파출소,서울특별시 강북구  한천로,37.62518,127.04868
번3,파출소,서울특별시 강북구  월계로,37.6217,127.04593
삼양,파출소,서울특별시 강북구  삼양로,37.6639607,127.0120877
금천,파출소,서울특별시 금천구 시흥대로57길 45,37.4532073,126.90002
문성,지구대,서울특별시 금천구  독산로,37.4688381,126.9023613
백산,지구대,서울특별시 금천구  탑골로2길,37.4504309,126.913536
가산,파출소,서울특별시 금천구  벚꽃로56길,37.4838184,126.8837296
독산,파출소,서울특별시 금천구  벚꽃로10길,37.4625677,126.8920739
망우,지구대,서울특별시 중랑구  망우로,37.5928724,127.0719547
중화,지구대,서울특별시 중랑구  중랑천로,37.5909218,127.0731406
용마,지구대,서울특별시 중랑구 동일로 566,37.5809535,127.07993965006122
봉화,지구대,서울특별시 중랑구  신내로,37.6042204,127.0955447
면목본동,파출소,서울특별시 중랑구  상봉로,37.5981883,127.0928622
면목삼팔,파출소,서울특별시 중랑구  사가정로41길,37.5827974,127.0842672
상봉,파출소,서울특별시 중랑구  중랑천로,37.5909218,127.0731406
먹골,파출소,서울특별시 중랑구 숙선옹주로7길 1,37.6153129,127.0820145
역삼,지구대,서울특별시 강남구 영동대로112길 4,37.5158846,127.065351
논현1,파출소,서울특별시 강남구 선릉로 626,37.5257607,127.0399898
논현2,파출소,서울특별시 강남구  학동로95길,37.5218275,127.0537222
삼성1,파출소,서울특별시 강남구  도산대로,37.5179769,127.0242574
삼성2,파출소,서울특별시 강남구 학동로 169,37.5119823,127.0240127
청담,파출소,서울특별시 강남구  학동로,37.5205262,127.0583961
신사,파출소,서울특별시 강남구 압구정로 311,37.5281196,127.0301698
압구정,파출소,서울특별시 강남구 테헤란로114길 11,37.5094404,127.06707157813565
당곡,지구대,서울특별시 관악구  남부순환로191길,37.4848217,126.9341957
낙성대,지구대,서울특별시 관악구  봉천로,37.4862051,126.9113025
신림,지구대,서울특별시 관악구  남부순환로188길,37.4842021,126.9333959
관악산,지구대,서울특별시 관악구  신림로,37.4865326,126.9292144
구암,지구대,서울특별시 관악구 은천로 93,37.4868596,126.9477174
남현,파출소,서울특별시 관악구  남현1가길,37.4747744,126.9777284
난우,파출소,서울특별시 관악구 난곡로 64,37.4683168,126.9201938
미성,파출소,서울특별시 관악구  난곡로64가길,37.4798089,126.915532
신사,지구대,서울특별시 관악구  신사로,37.4896822,126.9200518
화곡,지구대,서울특별시 강서구  화곡로,37.565668,126.8582912
공항,지구대,서울특별시 강서구  방화동로,37.5615634,126.8080486
까치산,지구대,서울특별시 강서구  강서로7길,37.529266,126.8436032
가양,지구대,서울특별시 강서구 화곡로65길 63,37.5595576,126.8500736
곰달래,지구대,서울특별시 강서구  곰달래로59길,37.5344378,126.8628603
방화3,파출소,서울특별시 강서구  금낭화로26길,37.5799342,126.8154457
염창,지구대,서울특별시 강서구  공항대로59다길,37.5480691,126.8754087
등촌2,파출소,서울특별시 강서구  등촌로,37.5515987,126.8639552
발산,지구대,서울특별시 강서구  수명로2길,37.5495141,126.8239896
화곡3,파출소,서울특별시 강서구  강서로45다길,37.5435552,126.8346174
천호,지구대,서울특별시 강동구  구천면로,37.5446913,127.1134486
길동,지구대,서울특별시 강동구 양재대로96길 35,37.5291727,127.1396958
성내,지구대,서울특별시 강동구  성내로,37.52893,127.12503
암사,지구대,서울특별시 강동구  고덕로,37.5547286,127.1364591
둔촌,파출소,서울특별시 강동구  진황도로,37.5344346,127.1399293
명일,파출소,서울특별시 강동구 동남로 895,37.5388677,127.1526455
강일,파출소,서울특별시 강동구  아리수로91길,37.5662181,127.1718446
고덕,파출소,서울특별시 강동구  고덕로,37.5547286,127.1364591
상일,파출소,서울특별시 강동구 고덕로80길 7,37.5518119,127.1652728
석관,파출소,서울특별시 성북구  화랑로32가길,37.6083401,127.0553717
장위,지구대,서울특별시 성북구  화랑로19길,37.6094111,127.0508392
월곡,지구대,서울특별시 성북구  종암로32길,37.6043259,127.0328687
종암,파출소,서울특별시 성북구  종암로23길,37.59923,127.0328705
신구로,지구대,서울특별시 구로구 새말로 26,37.5055354,126.8900335
오류,지구대,서울특별시 구로구  고척로1길,37.4946723,126.837769
구일,지구대,서울특별시 구로구  도림로,37.4870646,126.8880979
고척,지구대,서울특별시 구로구 중앙로15길 30,37.508461,126.8517475
개봉,지구대,서울특별시 구로구  개봉로18길,37.49153,126.8566754
구로3,파출소,서울특별시 구로구  디지털로31길,37.4859206,126.8925114
가리봉,파출소,서울특별시 구로구 남부순환로 1275,37.4804255,126.8879933
천왕,파출소,서울특별시 구로구 오리로 1102-8,37.4819986,126.8454005
반포,지구대,서울특별시 서초구 신반포로 190,37.5105046,127.0191612
서초2,파출소,서울 서초구 서운로 38,37.4924361,127.0263806
서초3,파출소,서울 서초구 반포대로30길 40,37.4916454,127.0092609
양재,파출소,서울 서초구 남부순환로356길 9,37.4830337,127.0387922
서초,파출소,서울 서초구 효령로 297,37.4880529,127.026779
우면,파출소,서울 서초구 바우뫼로 45,37.4798659,127.0410708
내곡,파출소,서울특별시 서초구 헌릉로 226,37.4563801,127.0690151
목1,지구대,서울특별시 양천구  목동동로,37.51836,126.86987
목2,지구대,서울특별시 양천구  등촌로,37.540304,126.8639268
신정1,지구대,서울특별시 양천구  중앙로32길,37.51924,126.85754
신정2,지구대,서울특별시 양천구 목동로17길 5,37.5243934,126.8618085
신월2,지구대,서울특별시 양천구 지양로 55,37.5205342,126.8344194
신월1,파출소,서울특별시 양천구  남부순환로59길,37.5320724,126.8318903
신정3,파출소,서울특별시 양천구  중앙로,37.512705,126.8564524
신월5,파출소,서울특별시 양천구  남부순환로31길,37.5388956,126.8298885
방이,지구대,서울특별시 송파구  양재대로71길,37.5110318,127.1242982
잠실,지구대,서울특별시 송파구  올림픽로,37.5107105,127.0709259
삼전,지구대,서울특별시 송파구  백제고분로,37.5026733,127.0991871
가락,지구대,서울특별시 송파구  중대로,37.5041995,127.1302592
문정,지구대,서울특별시 송파구 충민로2길 18,37.4781044,127.1273688
마천,파출소,서울특별시 송파구  마천로,37.5038876,127.1371693
거여,파출소,서울특별시 송파구 새말로15길 9,37.4854231,127.1296651
풍납,파출소,서울특별시 송파구  토성로,37.5297106,127.1149633
오금,파출소,서울특별시 송파구  마천로8길,37.5067214,127.1283601
신천,파출소,서울특별시 송파구  올림픽로35길,37.5169432,127.1006198
위례,파출소,서울특별시 송파구 위례순환로 369,37.4778842,127.14591125
당현,지구대,서울특별시 노원구  노원로17길,37.6422464,127.0698466
월계,지구대,서울특별시 노원구  월계로55길,37.63291,127.05964
화랑,지구대,서울특별시 노원구  동일로,37.6242653,127.0734496
노원역,지구대,서울특별시 노원구 노원로 431,37.6215438,127.0872984
불암,지구대,서울특별시 노원구  한글비석로,37.6661065,127.06948626989912
마들,지구대,서울특별시 노원구  한글비석로,37.6661065,127.06948626989912
당고개,파출소,서울특별시 노원구  상계로35길,37.6737428,127.0783126
상계1,파출소,서울특별시 노원구  동일로,37.6242653,127.0734496
남태령,지구대,서울특별시 서초구  동작대로,37.5045613,126.9803781
서래,파출소,서울특별시 서초구  신반포로,37.5084506,127.0124019
이수,파출소,서울특별시 서초구  동광로19길,37.4957394,126.9875352
방배1,파출소,서울특별시 서초구  방배로16길,37.4846464,126.996433
불광,지구대,서울특별시 은평구  연서로,37.6185397,126.9204296
연신내,지구대,서울특별시 은평구  갈현로,37.6004701,126.9102787
진관,파출소,서울특별시 은평구  진관3로,37.6418377,126.9216295
대조,파출소,서울특별시 은평구  통일로,37.6366874,126.9167737
창동,지구대,서울특별시 도봉구 노해로 392,37.6511525,127.0453491
신창,파출소,서울특별시 도봉구  도봉로104길,37.6441392,127.0380546
방학,파출소,서울특별시 도봉구  도봉로145길,37.6650799,127.0416108
신방학,파출소,서울특별시 도봉구  시루봉로5길,37.6583436,127.0247965
도봉1,파출소,서울특별시 도봉구  도봉로169길,37.6771756,127.0337605
도봉2,파출소,서울특별시 도봉구 도봉로180나길 33,37.6832052,127.0500164
쌍문,파출소,서울특별시 도봉구  방학로3길,37.6620919,127.0409094
숭미,파출소,서울특별시 도봉구  노해로,37.6511525,127.0453491
도곡,지구대,서울특별시 강남구  언주로,37.530458,127.0340568
대치,지구대,서울특별시 강남구  삼성로,37.5215228,127.0487626
수서,파출소,서울특별시 강남구  밤고개로1길,37.4888508,127.1033456
대왕,파출소,서울특별시 강남구  헌릉로,37.4682348,127.1213133
일원,지구대,서울특별시 강남구  일원로3길,37.49241,127.08381
개포,지구대,서울특별시 강남구  개포로,37.48281,127.05614
